week,temp_av,score,score_accum,comp_score,comp_score_accum,price,quantity,advertising,score_ratio,views,customers,xmas,quantity_lag1,quantity_lag2,quantity_diff1,quantity_diff2
2018_01,6.38888888888889,0.0,0.0,0.2857142857142857,2.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,0.0,0.0,0.0
2018_02,5.928571428571429,0.0,0.0,1.5714285714285714,13.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,0.0,0.0,0.0
2018_03,5.4682539682539675,0.0,0.0,1.0,20.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,0.0,0.0,0.0
2018_04,8.801587301587302,0.0,0.0,0.2857142857142857,22.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,4.0,0.0,-4.0
2018_05,5.611111111111112,0.0,0.0,0.5714285714285714,26.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,4.0,7.0,-4.0,-3.0
2018_06,3.380952380952381,0.0,0.0,0.8571428571428571,32.0,24.990000000000002,4.0,0.04041666666666666,0.0,,,0,7.0,5.0,-3.0,2.0
2018_07,4.873015873015873,1.4285714285714286,10.0,0.0,34.0,24.990000000000002,7.0,0.04041666666666666,0.21135727018079958,,,0,5.0,8.0,2.0,-3.0
2018_08,4.317460317460318,0.14285714285714285,11.0,-0.14285714285714285,32.0,27.132857142857144,5.0,1.8745454545454547,0.3748772308948299,,,0,8.0,17.0,-3.0,-9.0
2018_09,-0.007936507936507908,0.8571428571428571,17.0,0.2857142857142857,35.0,28.56142857142857,8.0,2.566307977736549,0.45532279045706664,,,0,17.0,8.0,-9.0,9.0
2018_10,7.666666666666666,0.8571428571428571,23.0,0.42857142857142855,36.0,29.990000000000002,17.0,4.295714285714285,0.5373288513841509,,,0,8.0,9.0,9.0,-1.0
2018_11,6.396825396825397,0.0,23.0,1.4285714285714286,46.0,29.990000000000002,8.0,3.865850340136054,0.5665824543533521,,,0,9.0,0.0,-1.0,9.0
2018_12,6.3730158730158735,-0.14285714285714285,23.0,0.2857142857142857,50.0,29.990000000000002,9.0,1.2866666666666668,0.4648706004140787,,,0,0.0,9.0,9.0,-9.0
2018_13,6.507936507936508,0.0,22.0,0.42857142857142855,51.0,29.990000000000002,0.0,1.2866666666666668,0.4429271708683474,,,0,9.0,6.0,-9.0,3.0
2018_14,10.222222222222223,0.5714285714285714,26.0,1.1428571428571428,59.0,29.990000000000002,9.0,6.124468864468864,0.47477155236894886,33.0,28.0,0,6.0,8.0,3.0,-2.0
2018_15,9.968253968253967,0.0,26.0,1.2857142857142858,68.0,28.132857142857144,6.0,6.93076923076923,0.4091012676256943,36.142857142857146,31.571428571428573,0,8.0,3.0,-2.0,5.0
2018_16,16.53968253968254,0.0,26.0,-0.2857142857142857,68.0,26.56142857142857,8.0,6.93076923076923,0.3922841864018335,29.285714285714285,23.571428571428573,0,3.0,12.0,5.0,-9.0
2018_17,10.198412698412698,0.0,26.0,0.5714285714285714,73.0,29.990000000000002,3.0,6.93076923076923,0.363475181615231,24.285714285714285,19.857142857142858,0,12.0,3.0,-9.0,9.0
2018_18,12.531746031746033,0.0,26.0,0.14285714285714285,71.0,29.990000000000002,12.0,1.999,0.3676918654785858,31.571428571428573,25.0,0,3.0,8.0,9.0,-5.0
2018_19,14.650793650793648,0.0,26.0,0.2857142857142857,73.0,28.275714285714287,3.0,3.8489090909090913,0.3633306689451779,28.714285714285715,22.857142857142858,0,8.0,7.0,-5.0,1.0
2018_20,14.087301587301585,0.0,26.0,0.0,73.0,24.990000000000002,8.0,6.3154545454545445,0.35616438356164387,19.285714285714285,16.571428571428573,0,7.0,13.0,1.0,-6.0
2018_21,16.73015873015873,0.0,26.0,0.8571428571428571,79.0,24.990000000000002,7.0,6.3154545454545445,0.3468727654057982,27.571428571428573,23.428571428571427,0,13.0,15.0,-6.0,-2.0
2018_22,18.047619047619044,0.14285714285714285,27.0,-0.7142857142857143,76.0,24.990000000000002,13.0,6.241424093148231,0.35236740499898395,32.57142857142857,24.857142857142858,0,15.0,16.0,-2.0,-1.0
2018_23,16.246031746031747,0.2857142857142857,29.0,-0.42857142857142855,72.0,25.22809523809524,15.0,5.797241379310344,0.4052090319695953,30.571428571428573,24.571428571428573,0,16.0,17.0,-1.0,-1.0
2018_24,16.603174603174605,0.2857142857142857,31.0,0.7142857142857143,76.0,25.704285714285714,16.0,5.797241379310344,0.40641020359116975,39.0,30.142857142857142,0,17.0,11.0,-1.0,6.0
2018_25,18.3015873015873,-0.2857142857142857,31.0,1.4285714285714286,86.0,24.990000000000002,17.0,5.797241379310344,0.3681627703657928,34.142857142857146,27.571428571428573,0,11.0,3.0,6.0,8.0
2018_26,20.896825396825395,0.0,29.0,0.2857142857142857,90.0,24.990000000000002,11.0,5.797241379310344,0.3285479378502634,29.428571428571427,22.428571428571427,0,3.0,9.0,8.0,-6.0
2018_27,22.992063492063494,0.0,29.0,0.0,88.0,24.132857142857144,3.0,6.08439853805816,0.32954545454545453,14.857142857142858,12.0,0,9.0,10.0,-6.0,-1.0
2018_28,20.68253968253968,0.0,29.0,0.0,88.0,21.990000000000002,9.0,6.132258064516129,0.32954545454545453,17.142857142857142,13.714285714285714,0,10.0,9.0,-1.0,1.0
2018_29,21.293650793650794,0.0,29.0,0.0,88.0,21.990000000000002,10.0,6.132258064516129,0.32954545454545453,15.0,9.428571428571429,0,9.0,15.0,1.0,-6.0
2018_30,22.746031746031747,0.0,29.0,0.2857142857142857,90.0,21.990000000000002,9.0,6.132258064516129,0.3284992784992785,13.285714285714286,11.428571428571429,0,15.0,16.0,-6.0,-1.0
2018_31,21.817460317460313,0.0,29.0,0.2857142857142857,92.0,21.990000000000002,15.0,6.263632607659304,0.31521739130434784,40.0,32.0,0,16.0,13.0,-1.0,3.0
2018_32,18.666666666666668,-0.42857142857142855,26.0,0.2857142857142857,94.0,21.990000000000002,16.0,6.5920689655172415,0.2791727236685609,54.57142857142857,37.0,0,13.0,19.0,3.0,-6.0
2018_33,18.952380952380953,0.0,26.0,0.2857142857142857,96.0,21.990000000000002,13.0,6.5920689655172415,0.2757725430597771,51.857142857142854,40.42857142857143,0,19.0,29.0,-6.0,-10.0
2018_34,17.41269841269841,0.2857142857142857,28.0,0.0,96.0,21.990000000000002,19.0,6.5920689655172415,0.2916666666666667,49.42857142857143,38.857142857142854,0,29.0,19.0,-10.0,10.0
2018_35,16.706349206349206,0.42857142857142855,31.0,0.7142857142857143,101.0,25.289319727891154,29.0,6.5920689655172415,0.3064250222014683,31.142857142857142,19.714285714285715,0,19.0,20.0,10.0,-1.0
2018_36,16.41269841269841,0.2857142857142857,33.0,-0.14285714285714285,102.0,25.990000000000002,19.0,9.052962962962964,0.3188515406162465,29.285714285714285,20.285714285714285,0,20.0,22.0,-1.0,-2.0
2018_37,15.777777777777777,0.42857142857142855,36.0,0.8571428571428571,108.0,25.990000000000002,20.0,9.052962962962964,0.3369251909762454,25.857142857142858,17.714285714285715,0,22.0,31.0,-2.0,-9.0
2018_38,16.134920634920636,0.7142857142857143,41.0,0.0,106.0,25.990000000000002,22.0,9.052962962962964,0.37702156334231807,45.0,29.285714285714285,0,31.0,40.0,-9.0,-9.0
2018_39,12.11111111111111,1.0,48.0,0.42857142857142855,109.0,25.990000000000002,31.0,9.052962962962964,0.4143341083940205,53.57142857142857,36.42857142857143,0,40.0,40.0,-9.0,0.0
2018_40,13.023809523809522,1.1428571428571428,56.0,-0.2857142857142857,109.0,25.990000000000006,40.0,12.0859375,0.49014588258350583,76.71428571428571,43.714285714285715,0,40.0,35.0,0.0,5.0
2018_41,15.72222222222222,0.0,56.0,-0.5714285714285714,105.0,25.990000000000002,40.0,12.0859375,0.539251040221914,86.14285714285714,51.42857142857143,0,35.0,28.0,5.0,7.0
2018_42,12.626984126984127,0.2857142857142857,58.0,-0.2857142857142857,105.0,25.990000000000002,35.0,12.0859375,0.5527288373774965,91.71428571428571,63.42857142857143,0,28.0,46.0,7.0,-18.0
2018_43,8.944444444444443,0.2857142857142857,60.0,0.0,101.0,25.990000000000002,28.0,12.0859375,0.5951452288085951,88.42857142857143,59.57142857142857,0,46.0,45.0,-18.0,1.0
2018_44,7.42063492063492,0.2857142857142857,62.0,0.7142857142857143,106.0,25.990000000000002,46.0,10.701088362068967,0.5917279521560166,76.0,51.0,0,45.0,40.0,1.0,5.0
2018_45,10.99206349206349,0.0,62.0,-0.14285714285714285,105.0,25.990000000000006,45.0,7.238965517241381,0.5987302613353034,69.42857142857143,46.0,0,40.0,39.0,5.0,1.0
2018_46,10.174603174603174,0.14285714285714285,63.0,0.0,105.0,27.454285714285714,40.0,7.238965517241381,0.6,53.285714285714285,36.285714285714285,0,39.0,41.0,1.0,-2.0
2018_47,5.6349206349206336,1.1428571428571428,71.0,0.7142857142857143,110.0,27.990000000000002,39.0,7.238965517241381,0.6446574730555312,64.71428571428571,43.714285714285715,0,41.0,77.0,-2.0,-36.0
2018_48,9.753968253968255,0.0,71.0,1.1428571428571428,118.0,27.990000000000002,41.0,7.238965517241381,0.6293815377095611,76.85714285714286,52.857142857142854,0,77.0,63.0,-36.0,14.0
2018_49,9.547619047619047,0.0,71.0,2.2857142857142856,134.0,27.990000000000006,77.0,6.058000000000001,0.5810287367842127,80.14285714285714,54.714285714285715,0,63.0,69.0,14.0,-6.0
2018_50,4.698412698412697,0.0,71.0,1.1428571428571428,142.0,29.67398268398269,63.0,6.058000000000001,0.503061224489796,71.28571428571429,46.57142857142857,1,69.0,28.0,-6.0,41.0
2018_51,9.103174603174603,0.42857142857142855,74.0,0.2857142857142857,146.0,29.990000000000006,69.0,6.058000000000001,0.5099148478230956,64.14285714285714,42.285714285714285,1,28.0,2.0,41.0,26.0
2018_52,7.095238095238096,0.2857142857142857,76.0,0.14285714285714285,146.0,29.990000000000006,28.0,6.058000000000001,0.514354465405481,45.285714285714285,31.428571428571427,1,2.0,15.0,26.0,-13.0
2018_53,9.333333333333332,0.0,76.0,2.0,147.0,29.99,2.0,6.058000000000001,0.5170068027210885,35.0,23.0,0,15.0,44.0,-13.0,-29.0
2019_00,5.611111111111111,0.6666666666666666,82.0,1.1666666666666667,154.0,28.49,15.0,8.375555555555556,0.5259149933221797,60.166666666666664,30.833333333333332,0,44.0,54.0,-29.0,-10.0
2019_01,7.269841269841271,0.8571428571428571,86.0,0.7142857142857143,159.0,27.311212121212122,44.0,9.534333333333334,0.5198865387681544,82.0,44.57142857142857,0,54.0,75.0,-10.0,-21.0
2019_02,4.777777777777779,0.5714285714285714,90.0,1.1428571428571428,167.0,25.990000000000002,54.0,9.534333333333334,0.5437703988087883,112.14285714285714,64.71428571428571,0,75.0,88.0,-21.0,-13.0
2019_03,4.174603174603176,1.1428571428571428,98.0,0.0,169.0,25.990000000000006,75.0,9.534333333333334,0.5738195475643656,101.28571428571429,62.0,0,88.0,77.0,-13.0,11.0
2019_04,1.8174603174603177,0.0,98.0,-0.2857142857142857,166.0,26.021746031746037,88.0,9.786042328042328,0.5949867130022135,107.14285714285714,64.85714285714286,0,77.0,53.0,11.0,24.0
2019_05,7.722222222222222,0.2857142857142857,100.0,-0.7142857142857143,162.0,25.990000000000006,77.0,11.296296296296294,0.620484152096715,93.0,58.57142857142857,0,53.0,50.0,24.0,3.0
2019_06,7.34920634920635,0.0,100.0,0.7142857142857143,165.0,25.990000000000006,53.0,11.296296296296294,0.6251376433796183,78.71428571428571,48.714285714285715,0,50.0,37.0,3.0,13.0
2019_07,8.738095238095237,1.8571428571428572,113.0,0.8571428571428571,171.0,25.990000000000006,50.0,11.296296296296294,0.6630635609689027,67.42857142857143,41.142857142857146,0,37.0,56.0,13.0,-19.0
2019_08,10.119047619047619,1.4285714285714286,123.0,0.5714285714285714,175.0,26.475714285714286,37.0,10.848920634920633,0.680015949590464,68.85714285714286,41.57142857142857,0,56.0,50.0,-19.0,6.0
2019_09,8.1984126984127,1.4285714285714286,133.0,0.0,177.0,27.028961038961047,56.0,8.164666666666667,0.7409341994856138,76.57142857142857,48.714285714285715,0,50.0,55.0,6.0,-5.0
2019_10,9.079365079365079,0.42857142857142855,137.0,-0.14285714285714285,175.0,26.990000000000002,50.0,8.164666666666667,0.7760591133004926,74.0,46.142857142857146,0,55.0,50.0,-5.0,5.0
2019_11,9.65873015873016,0.42857142857142855,139.0,0.7142857142857143,179.0,26.990000000000006,55.0,8.164666666666667,0.7852548039057657,67.28571428571429,38.857142857142854,0,50.0,24.0,5.0,26.0
2019_12,10.103174603174605,0.14285714285714285,140.0,0.42857142857142855,184.0,27.043571428571433,50.0,8.164666666666667,0.7640946010511228,65.57142857142857,39.42857142857143,0,24.0,34.0,26.0,-10.0
2019_13,7.309523809523808,0.8571428571428571,148.0,0.0,182.0,26.990000000000002,24.0,6.748032840722495,0.8028780743066457,56.857142857142854,35.285714285714285,0,34.0,33.0,-10.0,1.0
2019_14,7.174603174603176,0.2857142857142857,148.0,1.0,189.0,26.990000000000006,34.0,6.181379310344828,0.7926979663187189,61.714285714285715,36.0,0,33.0,19.0,1.0,14.0
2019_15,13.404761904761907,0.0,148.0,-0.2857142857142857,187.0,26.990000000000002,33.0,6.181379310344828,0.7938884644766997,41.714285714285715,28.714285714285715,0,19.0,25.0,14.0,-6.0
2019_16,12.746031746031747,0.14285714285714285,149.0,0.2857142857142857,193.0,26.990000000000002,19.0,6.181379310344828,0.7809918603435914,39.857142857142854,27.857142857142858,0,25.0,25.0,-6.0,0.0
2019_17,10.134920634920633,0.14285714285714285,150.0,-0.14285714285714285,189.0,26.990000000000002,25.0,5.47735960591133,0.7952902846072881,42.42857142857143,27.428571428571427,0,25.0,28.0,0.0,-3.0
2019_18,10.650793650793648,0.0,150.0,0.2857142857142857,190.0,26.990000000000006,25.0,4.538666666666667,0.796672532394817,50.285714285714285,31.285714285714285,0,28.0,26.0,-3.0,2.0
2019_19,12.865079365079364,1.0,157.0,0.42857142857142855,193.0,26.990000000000002,28.0,4.538666666666667,0.8108027447724578,41.857142857142854,26.142857142857142,0,26.0,22.0,2.0,4.0
2019_20,16.753968253968253,0.0,157.0,0.42857142857142855,196.0,26.990000000000002,26.0,4.538666666666667,0.8086976661901797,42.714285714285715,24.857142857142858,0,22.0,24.0,4.0,-2.0
2019_21,16.365079365079364,-0.14285714285714285,157.0,0.2857142857142857,198.0,26.990000000000002,22.0,4.538666666666667,0.7933636658126454,39.42857142857143,28.857142857142858,0,24.0,28.0,-2.0,-4.0
2019_22,14.682539682539682,0.5714285714285714,160.0,0.2857142857142857,200.0,26.990000000000002,24.0,4.737586206896551,0.7985802632741408,37.285714285714285,23.142857142857142,0,28.0,38.0,-4.0,-10.0
2019_23,13.650793650793648,0.2857142857142857,162.0,0.0,202.0,25.84714285714286,28.0,4.737586206896551,0.8034229137199436,59.285714285714285,37.57142857142857,0,38.0,23.0,-10.0,15.0
2019_24,16.6984126984127,0.14285714285714285,163.0,0.5714285714285714,204.0,26.600204081632658,38.0,4.737586206896551,0.8037099592312172,46.142857142857146,30.428571428571427,0,23.0,15.0,15.0,8.0
2019_25,19.666666666666668,0.2857142857142857,165.0,0.0,204.0,26.41857142857143,23.0,4.737586206896551,0.807422969187675,34.0,21.857142857142858,0,15.0,18.0,8.0,-3.0
2019_26,18.896825396825395,0.14285714285714285,166.0,0.2857142857142857,206.0,24.990000000000002,15.0,4.0531198686371095,0.8078105028419136,29.857142857142858,20.428571428571427,0,18.0,16.0,-3.0,2.0
2019_27,19.658730158730158,0.2857142857142857,168.0,-0.2857142857142857,204.0,24.990000000000002,18.0,3.779333333333333,0.8165266106442576,38.42857142857143,25.0,0,16.0,17.0,2.0,-1.0
2019_28,18.761904761904763,0.2857142857142857,170.0,0.8571428571428571,210.0,24.990000000000002,16.0,3.779333333333333,0.8085199128194966,36.42857142857143,25.142857142857142,0,17.0,21.0,-1.0,-4.0
2019_29,22.936507936507933,-0.2857142857142857,170.0,0.2857142857142857,212.0,24.990000000000002,17.0,3.779333333333333,0.8002823771017841,30.428571428571427,21.428571428571427,0,21.0,31.0,-4.0,-10.0
2019_30,19.865079365079364,-0.2857142857142857,168.0,0.5714285714285714,218.0,24.990000000000002,21.0,3.6759999999999993,0.77298259211591,41.714285714285715,29.0,0,31.0,40.0,-10.0,-9.0
2019_31,19.269841269841272,0.0,166.0,0.5714285714285714,220.0,24.990000000000002,31.0,3.4176666666666664,0.7615228298714537,46.714285714285715,29.714285714285715,0,40.0,34.0,-9.0,6.0
2019_32,16.976190476190474,0.5714285714285714,170.0,1.1428571428571428,228.0,24.990000000000002,40.0,3.4176666666666664,0.7484649851673605,57.714285714285715,34.285714285714285,0,34.0,19.0,6.0,15.0
2019_33,19.150793650793652,0.2857142857142857,172.0,0.8571428571428571,234.0,24.990000000000002,34.0,3.4176666666666664,0.7352632725472621,50.42857142857143,34.857142857142854,0,19.0,36.0,15.0,-17.0
2019_34,19.93650793650794,0.2857142857142857,174.0,0.8571428571428571,240.0,24.990000000000002,19.0,3.4176666666666664,0.7367222551776035,51.714285714285715,35.142857142857146,0,36.0,45.0,-17.0,-9.0
2019_35,15.27777777777778,0.2857142857142857,176.0,0.2857142857142857,242.0,24.990000000000006,36.0,6.68124302134647,0.7288961038961039,62.42857142857143,40.857142857142854,0,45.0,30.0,-9.0,15.0
2019_36,16.77777777777778,0.2857142857142857,178.0,1.0,249.0,24.990000000000006,45.0,7.2251724137931035,0.721265981309586,93.71428571428571,63.142857142857146,0,30.0,38.0,15.0,-8.0
2019_37,15.952380952380953,0.0,178.0,0.0,251.0,24.990000000000002,30.0,7.2251724137931035,0.7116078228127227,82.57142857142857,55.0,0,38.0,45.0,-8.0,-7.0
2019_38,16.206349206349206,0.0,178.0,0.0,249.0,24.990000000000002,38.0,7.2251724137931035,0.7165132479019606,110.42857142857143,64.42857142857143,0,45.0,52.0,-7.0,-7.0
2019_39,13.055555555555555,0.0,178.0,0.0,251.0,24.990000000000002,45.0,8.00974055829228,0.7075260641995605,100.28571428571429,70.57142857142857,0,52.0,62.0,-7.0,-10.0
2019_40,13.388888888888886,0.14285714285714285,179.0,0.42857142857142855,253.0,24.990000000000002,52.0,8.598166666666666,0.7138202417671423,108.0,74.85714285714286,0,62.0,56.0,-10.0,6.0
2019_41,11.801587301587302,1.4285714285714286,189.0,0.42857142857142855,255.0,24.990000000000002,62.0,8.598166666666666,0.7201870023056597,109.0,78.42857142857143,0,56.0,50.0,6.0,6.0
2019_42,11.246031746031745,1.7142857142857142,201.0,1.8571428571428572,268.0,26.092040816326534,56.0,8.598166666666666,0.7505327621278992,110.0,78.14285714285714,0,50.0,47.0,6.0,3.0
2019_43,9.595238095238097,0.0,201.0,0.7142857142857143,273.0,26.990000000000006,50.0,8.528083743842362,0.7436769901450976,114.42857142857143,76.85714285714286,0,47.0,80.0,3.0,-33.0
2019_44,7.2063492063492065,0.5714285714285714,205.0,0.14285714285714285,274.0,26.990000000000002,47.0,8.107586206896555,0.746730405346199,140.0,91.42857142857143,0,80.0,77.0,-33.0,3.0
2019_45,6.222222222222222,0.8571428571428571,211.0,-0.42857142857142855,276.0,26.990000000000006,80.0,8.107586206896555,0.7552703482115738,160.0,107.71428571428571,0,77.0,77.0,3.0,0.0
2019_46,6.396825396825396,1.1428571428571428,219.0,0.42857142857142855,274.0,27.618815628815636,77.0,8.107586206896555,0.7950606111481607,132.0,95.57142857142857,0,77.0,84.0,0.0,-7.0
2019_47,7.555555555555555,1.2857142857142858,228.0,2.142857142857143,289.0,27.990000000000006,77.0,8.107586206896555,0.7915905747817878,126.57142857142857,88.42857142857143,0,84.0,101.0,-7.0,-17.0
2019_48,6.674603174603175,0.7142857142857143,233.0,5.428571428571429,327.0,27.990000000000006,84.0,5.8560837438423645,0.7434084460723501,133.0,89.28571428571429,0,101.0,111.0,-17.0,-10.0
2019_49,6.626984126984125,0.8571428571428571,239.0,1.7142857142857142,339.0,28.592897102897105,101.0,5.480833333333335,0.7068339512351692,138.85714285714286,89.85714285714286,0,111.0,48.0,-10.0,63.0
2019_50,8.103174603174603,0.2857142857142857,241.0,1.2857142857142858,352.0,28.990000000000006,111.0,5.480833333333335,0.686480098686363,117.28571428571429,80.28571428571429,1,48.0,9.0,63.0,39.0
2019_51,7.484126984126985,0.0,241.0,2.0,362.0,28.990000000000002,48.0,5.480833333333335,0.6753893968004502,67.85714285714286,50.57142857142857,1,9.0,31.0,39.0,-22.0
2019_52,6.861111111111111,1.0,243.0,0.0,362.0,29.089999999999996,9.0,5.480833333333334,0.6712707182320442,71.0,53.5,1,31.0,43.0,-22.0,-12.0
2020_00,7.4,0.8,247.0,1.6,370.0,29.830000000000002,31.0,5.341233333333333,0.675668511551131,114.2,75.2,0,43.0,40.0,-12.0,3.0
2020_01,9.261904761904761,0.5714285714285714,251.0,2.5714285714285716,388.0,29.990000000000002,43.0,5.248166666666667,0.6563542514097265,96.28571428571429,60.714285714285715,0,40.0,38.0,3.0,2.0
2020_02,7.261904761904762,0.7142857142857143,256.0,5.0,423.0,29.990000000000002,40.0,5.248166666666667,0.6218118223667911,93.71428571428571,64.57142857142857,0,38.0,36.0,2.0,2.0
2020_03,5.658730158730159,0.7142857142857143,261.0,1.4285714285714286,436.0,29.990000000000006,38.0,5.248166666666667,0.596926496676215,116.85714285714286,81.85714285714286,0,36.0,38.0,2.0,-2.0
2020_04,8.5,0.2857142857142857,263.0,3.0,454.0,29.990000000000006,36.0,5.248166666666667,0.5936148137394558,111.85714285714286,88.57142857142857,0,38.0,,-2.0,
2020_05,6.011111111111111,0.0,263.0,2.0,464.0,29.99,38.0,5.248166666666666,0.568786182321418,142.4,111.4,0,,,,
